SampleID	Collection Day	TimePoint	Treatment	MouseID	MouseNumber	Sample Number	Volume	DNA Conc. Post Prep	260/280 ratio
D0R3471	Day -1	Day_00	R347	R347_1	1	1	10 ul	225.3	1.71
D0R3472	Day -1	Day_00	R347	R347_2	2	2	10 ul	41.81	1.9
D0R3473	Day -1	Day_00	R347	R347_3	3	3	10 ul	17.2	1.58
D0R3474	Day -1	Day_00	R347	R347_4	4	4	10 ul	41.43	1.85
D0R3475	Day -1	Day_00	R347	R347_5	5	5	10 ul	21.23	2.51
D0KPE336	Day -1	Day_00	KPE33	KPE33_1	1	6	10 ul	49.35	1.9
D0KPE337	Day -1	Day_00	KPE33	KPE33_2	2	7	10 ul	44.88	2.02
D0KPE338	Day -1	Day_00	KPE33	KPE33_3	3	8	10 ul	55.26	1.79
D0KPE339	Day -1	Day_00	KPE33	KPE33_4	4	9	10 ul	41.89	1.99
D0KPE3310	Day -1	Day_00	KPE33	KPE33_5	5	10	10 ul	86.37	1.77
D0KPN4211	Day -1	Day_00	KPN42	KPN42_1	1	11	10 ul	65.83	1.83
D0KPN4212	Day -1	Day_00	KPN42	KPN42_2	2	12	10 ul	62.14	1.82
D0KPN4213	Day -1	Day_00	KPN42	KPN42_3	3	13	10 ul	66.89	2.01
D0KPN4214	Day -1	Day_00	KPN42	KPN42_4	4	14	10 ul	40.12	1.96
D0KPN4215	Day -1	Day_00	KPN42	KPN42_5	5	15	10 ul	13.75	1.95
D0Mem16	Day -1	Day_00	Mem	Mem_1	1	16	10 ul	57.21	1.81
D0Mem17	Day -1	Day_00	Mem	Mem_2	2	17	10 ul	75.34	1.87
D0Mem18	Day -1	Day_00	Mem	Mem_3	3	18	10 ul	63.75	1.78
D0Mem19	Day -1	Day_00	Mem	Mem_4	4	19	10 ul	34.4	1.76
D0Mem20	Day -1	Day_00	Mem	Mem_5	5	20	10 ul	30.4	1.76
D0Naive21	Day -1	Day_00	Naive	Naive_1	1	21	10 ul	69.54	1.94
D0Naive22	Day -1	Day_00	Naive	Naive_2	2	22	10 ul	89.93	1.89
D0Naive23	Day -1	Day_00	Naive	Naive_3	3	23	10 ul	47.04	1.88
D0Naive24	Day -1	Day_00	Naive	Naive_4	4	24	10 ul	49.12	1.74
D0Naive25	Day -1	Day_00	Naive	Naive_5	5	25	10 ul	34.97	1.76
D1R3471	Day 0	Day_01	R347	R347_1	1	1	10 ul	20.67	1.83
D1R3472	Day 0	Day_01	R347	R347_2	2	2	10 ul	58.87	1.84
D1R3473	Day 0	Day_01	R347	R347_3	3	3	10 ul	22.73	2.52
D1R3474	Day 0	Day_01	R347	R347_4	4	4	10 ul	42.35	2.04
D1R3475	Day 0	Day_01	R347	R347_5	5	5	10 ul	36.44	1.88
D1KPE336	Day 0	Day_01	KPE33	KPE33_1	1	6	10 ul	57.16	1.87
D1KPE337	Day 0	Day_01	KPE33	KPE33_2	2	7	10 ul	99.25	1.81
D1KPE338	Day 0	Day_01	KPE33	KPE33_3	3	8	10 ul	32.88	2.08
D1KPE339	Day 0	Day_01	KPE33	KPE33_4	4	9	10 ul	30.05	1.97
D1KPE3310	Day 0	Day_01	KPE33	KPE33_5	5	10	10 ul	31.94	1.94
D1KPN4211	Day 0	Day_01	KPN42	KPN42_1	1	11	10 ul	88.07	1.97
D1KPN4212	Day 0	Day_01	KPN42	KPN42_2	2	12	10 ul	46.83	2.11
D1KPN4213	Day 0	Day_01	KPN42	KPN42_3	3	13	10 ul	69.84	1.91
D1KPN4214	Day 0	Day_01	KPN42	KPN42_4	4	14	10 ul	125.6	1.86
D1KPN4215	Day 0	Day_01	KPN42	KPN42_5	5	15	10 ul	54.52	1.68
D1Naive21	Day 0	Day_01	Naive	Naive_1	1	21	10 ul	22.8	2.06
D1Naive22	Day 0	Day_01	Naive	Naive_2	2	22	10 ul	36.8	2.13
D1Naive23	Day 0	Day_01	Naive	Naive_3	3	23	10 ul	53.87	1.87
D1Naive24	Day 0	Day_01	Naive	Naive_4	4	24	10 ul	39.66	2.04
D1Naive25	Day 0	Day_01	Naive	Naive_5	5	25	10 ul	102	1.87
D7R3471	Day 7	Day_07	R347	R347_1	1	1	10 ul	45.14	1.77
D7R3472	Day 7	Day_07	R347	R347_2	2	2	10 ul	129.6	1.86
D7R3473	Day 7	Day_07	R347	R347_3	3	3	10 ul	68.51	1.93
D7R3474	Day 7	Day_07	R347	R347_4	4	4	10 ul	171.8	1.85
D7R3475	Day 7	Day_07	R347	R347_5	5	5	10 ul	89.54	1.88
D7KPE336	Day 7	Day_07	KPE33	KPE33_1	1	6	10 ul	60.97	1.85
D7KPE337	Day 7	Day_07	KPE33	KPE33_2	2	7	10 ul	89.52	1.84
D7KPE338	Day 7	Day_07	KPE33	KPE33_3	3	8	10 ul	215.1	1.82
D7KPE339	Day 7	Day_07	KPE33	KPE33_4	4	9	10 ul	181.5	1.85
D7KPE3310	Day 7	Day_07	KPE33	KPE33_5	5	10	10 ul	31.63	1.65
D7KPN4211	Day 7	Day_07	KPN42	KPN42_1	1	11	10 ul	25.82	2.11
D7KPN4212	Day 7	Day_07	KPN42	KPN42_2	2	12	10 ul	27.03	2
D7KPN4213	Day 7	Day_07	KPN42	KPN42_3	3	13	10 ul	48.12	1.78
D7KPN4214	Day 7	Day_07	KPN42	KPN42_4	4	14	10 ul	35.63	1.95
D7KPN4215	Day 7	Day_07	KPN42	KPN42_5	5	15	10 ul	16.69	1.75
D7Mem16	Day 7	Day_07	Mem	Mem_1	1	16	10 ul	7.616	1.74
D7Mem17	Day 7	Day_07	Mem	Mem_2	2	17	10 ul	11.26	1.49
D7Mem18	Day 7	Day_07	Mem	Mem_3	3	18	10 ul	6.787	1.69
D7Mem19	Day 7	Day_07	Mem	Mem_4	4	19	10 ul	13.49	2.58
D7Mem20	Day 7	Day_07	Mem	Mem_5	5	20	10 ul	9.437	1.9
D7Naive21	Day 7	Day_07	Naive	Naive_1	1	21	10 ul	10.22	1.93
D7Naive22	Day 7	Day_07	Naive	Naive_2	2	22	10 ul	8.298	1.94
D7Naive23	Day 7	Day_07	Naive	Naive_3	3	23	10 ul	9.913	1.32
D7Naive24	Day 7	Day_07	Naive	Naive_4	4	24	10 ul	8.723	1.72
D7Naive25	Day 7	Day_07	Naive	Naive_5	5	25	10 ul	23.08	1.67
D14R3471	Day 14	Day_14	R347	R347_1	1	1	10 ul	18.78	1.63
D14R3472	Day 14	Day_14	R347	R347_2	2	2	10 ul	62.41	1.87
D14R3473	Day 14	Day_14	R347	R347_3	3	3	10 ul	54.64	1.94
D14R3474	Day 14	Day_14	R347	R347_4	4	4	10 ul	65.53	1.93
D14R3475	Day 14	Day_14	R347	R347_5	5	5	10 ul	20.44	1.85
D14KPE336	Day 14	Day_14	KPE33	KPE33_1	1	6	10 ul	21.26	1.79
D14KPE337	Day 14	Day_14	KPE33	KPE33_2	2	7	10 ul	40.4	1.85
D14KPE338	Day 14	Day_14	KPE33	KPE33_3	3	8	10 ul	18.75	1.79
