SampleID	Collection Day	TimePoint	Treatment	MouseID	MouseNumber	Sample Number	DNA Conc. Post Prep	260/280 ratio																				
D0039021	Day -1	Day_00	3902	3902_1	1	1	92.19	1.85																				
D0039022	Day -1	Day_00	3902	3902_2	2	2	28.33	1.89																				
D0039023	Day -1	Day_00	3902	3902_3	3	3	17.61	2.01																				
D0039024	Day -1	Day_00	3902	3902_4	4	4	27.99	1.97																				
D0039025	Day -1	Day_00	3902	3902_5	5	5	55.47	1.98																				
D00R3476	Day -1	Day_00	R347	R347_1	1	6	32.89	1.82																				
D00R3477	Day -1	Day_00	R347	R347_2	2	7	51.19	2.08																				
D00R3478	Day -1	Day_00	R347	R347_3	3	8	26.58	2.08																				
D00R3479	Day -1	Day_00	R347	R347_4	4	9	18.1	1.78																				
D00R34710	Day -1	Day_00	R347	R347_5	5	10	31.36	1.84																				
D00Cipro11	Day -1	Day_00	Cipro	Cipro_1	1	11	42.31	1.85																				
D00Cipro12	Day -1	Day_00	Cipro	Cipro_2	2	12	86.26	2.01																				
D00Cipro13	Day -1	Day_00	Cipro	Cipro_3	3	13	25.98	2.15																				
D00Cipro14	Day -1	Day_00	Cipro	Cipro_4	4	14	37.3	2.02																				
D00Cipro15	Day -1	Day_00	Cipro	Cipro_5	5	15	55.76	1.94																				
D00Naive16	Day -1	Day_00	Naive	Naive_1	1	16	72.22	1.93																				
D00Naive17	Day -1	Day_00	Naive	Naive_2	2	17	40.5	2																				
D00Naive18	Day -1	Day_00	Naive	Naive_3	3	18	35.41	1.95																				
D00Naive19	Day -1	Day_00	Naive	Naive_4	4	19	34.04	1.94																				
D00Naive20	Day -1	Day_00	Naive	Naive_5	5	20	92.51	1.93																				
D0139021	Day 0	Day_01	3902	3902_1	1	1	47.58	1.92																				
D0139022	Day 0	Day_01	3902	3902_2	2	2	54.81	1.91																				
D0139023	Day 0	Day_01	3902	3902_3	3	3	33.3	1.92																				
D0139024	Day 0	Day_01	3902	3902_4	4	4	43.97	2.1																				
D0139025	Day 0	Day_01	3902	3902_5	5	5	44.92	1.99																				
D01R3476	Day 0	Day_01	R347	R347_1	1	6	52.3	1.9																				
D01R3477	Day 0	Day_01	R347	R347_2	2	7	56.98	1.85																				
D01R3478	Day 0	Day_01	R347	R347_3	3	8	47.28	1.79																				
D01R3479	Day 0	Day_01	R347	R347_4	4	9	87.2	1.91																				
D01R34710	Day 0	Day_01	R347	R347_5	5	10	87.67	1.88																				
D01Naive16	Day 0	Day_01	Naive	Naive_1	1	16	62.51	1.84																				
D01Naive17	Day 0	Day_01	Naive	Naive_2	2	17	79.22	1.94																				
D01Naive18	Day 0	Day_01	Naive	Naive_3	3	18	62.64	2.01																				
D01Naive19	Day 0	Day_01	Naive	Naive_4	4	19	66.35	1.9																				
D01Naive20	Day 0	Day_01	Naive	Naive_5	5	20	77.92	1.78																				
D0739021	Day 7	Day_07	3902	3902_1	1	1	83.83	1.87																				
D0739022	Day 7	Day_07	3902	3902_2	2	2	48.63	1.67																				
D0739023	Day 7	Day_07	3902	3902_3	3	3	39.42	1.62																				
D0739024	Day 7	Day_07	3902	3902_4	4	4	44.87	2.06																				
D0739025	Day 7	Day_07	3902	3902_5	5	5	58.21	1.91																				
D07R3476	Day 7	Day_07	R347	R347_1	1	6	63.15	1.88																				
D07R3477	Day 7	Day_07	R347	R347_2	2	7	63.03	1.78																				
D07R3478	Day 7	Day_07	R347	R347_3	3	8	65.13	1.79																				
D07R3479	Day 7	Day_07	R347	R347_4	4	9	33.82	1.87																				
D07R34710	Day 7	Day_07	R347	R347_5	5	10	89.1	1.74																				
D07Cipro11	Day 7	Day_07	Cipro	Cipro_1	1	11	13.61	1.25																				
D07Cipro12	Day 7	Day_07	Cipro	Cipro_2	2	12	20.98	1.96																				
D07Naive16	Day 7	Day_07	Cipro	Cipro_3	3	13	70.58	1.88																				
D07Cipro14	Day 7	Day_07	Cipro	Cipro_4	4	14	14.1	1.73																				
D07Cipro15	Day 7	Day_07	Cipro	Cipro_5	5	15	69.52	1.8																				
D07Cipro13	Day 7	Day_07	Naive	Naive_1	1	16	17.93	1.7																				
D07Naive17	Day 7	Day_07	Naive	Naive_2	2	17	71.55	1.88																				
D07Naive18	Day 7	Day_07	Naive	Naive_3	3	18	73.53	1.77																				
D07Naive19	Day 7	Day_07	Naive	Naive_4	4	19	51.39	1.67																				
D07Naive20	Day 7	Day_07	Naive	Naive_5	5	20	76.59	1.86																				
D1439021	Day 14	Day_14	3902	3902_1	1	1	33.81	1.65																				
D1439022	Day 14	Day_14	3902	3902_2	2	2	119	1.82																				
D1439023	Day 14	Day_14	3902	3902_3	3	3	29.95	1.6																				
D1439024	Day 14	Day_14	3902	3902_4	4	4	54.61	1.88																				
D1439025	Day 14	Day_14	3902	3902_5	5	5	51.81	1.8																				
D14R3476	Day 14	Day_14	R347	R347_1	1	6	56.79	1.95																				
D14R3477	Day 14	Day_14	R347	R347_2	2	7	29.5	1.67																				
D14R3478	Day 14	Day_14	R347	R347_3	3	8	48.36	1.73																				
