SampleID	TimePoint	Treatment	MouseID
Day-0-R347_S1	Day_00	R347	R347_1
Day-0-R347_S2	Day_00	R347	R347_2
Day-0-R347_S3	Day_00	R347	R347_3
Day-0-R347_S4	Day_00	R347	R347_4
Day-0-R347_S5	Day_00	R347	R347_5
Day-0-LC10_S6	Day_00	LC10	LC10_6
Day-0-LC10_S7	Day_00	LC10	LC10_7
Day-0-LC10_S8	Day_00	LC10	LC10_8
Day-0-LC10_S9	Day_00	LC10	LC10_9
Day-0-LC10_S10	Day_00	LC10	LC10_10
Day-0-VAN_S11	Day_00	VAN	VAN_11
Day-0-VAN_S12	Day_00	VAN	VAN_12
Day-0-VAN_S13	Day_00	VAN	VAN_13
Day-0-VAN_S14	Day_00	VAN	VAN_14
Day-0-VAN_S15	Day_00	VAN	VAN_15
Day-0-LZD_S16	Day_00	LZD	LZD_16
Day-0-LZD_S17	Day_00	LZD	LZD_17
Day-0-LZD_S18	Day_00	LZD	LZD_18
Day-0-LZD_S19	Day_00	LZD	LZD_19
Day-0-LZD_S20	Day_00	LZD	LZD_20
Day-0-LVX_S21	Day_00	LVX	LVX_21
Day-0-LVX_S22	Day_00	LVX	LVX_22
Day-0-LVX_S23	Day_00	LVX	LVX_23
Day-0-LVX_S24	Day_00	LVX	LVX_24
Day-0-LVX_S25	Day_00	LVX	LVX_25
Day-0-Naive_S26	Day_00	Naive	Naive_26
Day-0-Naive_S27	Day_00	Naive	Naive_27
Day-0-Naive_S28	Day_00	Naive	Naive_28
Day-0-Naive_S29	Day_00	Naive	Naive_29
Day-0-Naive_S30	Day_00	Naive	Naive_30
Day-1-R347_S31	Day_01	R347	R347_1
Day1-R347_S32	Day_01	R347	R347_2
Day1-R347_S33	Day_01	R347	R347_3
Day1-R347_S34	Day_01	R347	R347_4
Day1-R347_S35	Day_01	R347	R347_5
Day1-LC10_S36	Day_01	LC10	LC10_6
Day1-LC10_S37	Day_01	LC10	LC10_7
Day1-LC10_S38	Day_01	LC10	LC10_8
Day1-LC10_S39	Day_01	LC10	LC10_9
Day1-LC10_S40	Day_01	LC10	LC10_10
Day1-Naive_S41	Day_01	Naive	Naive_26
Day1-Naive_S42	Day_01	Naive	Naive_27
Day1-Naive_S43	Day_01	Naive	Naive_28
Day1-Naive_S44	Day_01	Naive	Naive_29
Day1-Naive_S45	Day_01	Naive	Naive_30
Day-7-R347_S46	Day_07	R347	R347_1
Day-7-R347_S47	Day_07	R347	R347_2
Day-7-R347_S48	Day_07	R347	R347_3
Day-7-R347_S49	Day_07	R347	R347_4
Day-7-R347_S50	Day_07	R347	R347_5
Day-7-LC10_S51	Day_07	LC10	LC10_6
Day-7-LC10_S52	Day_07	LC10	LC10_7
Day-7-LC10_S53	Day_07	LC10	LC10_8
Day-7-LC10_S54	Day_07	LC10	LC10_9
Day-7-LC10_S55	Day_07	LC10	LC10_10
Day-7-VAN_S56	Day_07	VAN	VAN_11
Day-7-VAN_S57	Day_07	VAN	VAN_12
Day-7-VAN_S58	Day_07	VAN	VAN_13
Day-7-VAN_S59	Day_07	VAN	VAN_14
Day-7-VAN_S60	Day_07	VAN	VAN_15
Day-7-LZD_S61	Day_07	LZD	LZD_16
Day-7-LZD_S62	Day_07	LZD	LZD_17
Day-7-LZD_S63	Day_07	LZD	LZD_18
Day-7-LZD_S64	Day_07	LZD	LZD_19
Day-7-LZD_S65	Day_07	LZD	LZD_20
Day-7-LVX_S66	Day_07	LVX	LVX_21
Day-7-LVX_S67	Day_07	LVX	LVX_22
Day-7-LVX_S68	Day_07	LVX	LVX_23
Day-7-LVX_S69	Day_07	LVX	LVX_24
Day-7-LVX_S70	Day_07	LVX	LVX_25
Day-7-Naive_S71	Day_07	Naive	Naive_26
Day-7-Naive_S72	Day_07	Naive	Naive_27
Day-7-Naive_S73	Day_07	Naive	Naive_28
Day-7-Naive_S74	Day_07	Naive	Naive_29
Day-7-Naive_S75	Day_07	Naive	Naive_30
Day-14-R347_S76	Day_14	R347	R347_1
Day-14-R347_S77	Day_14	R347	R347_2
Day-14-R347_S78	Day_14	R347	R347_3
Day-14-R347_S79	Day_14	R347	R347_4
Day-14-R347_S80	Day_14	R347	R347_5
Day-14-LC10_S81	Day_14	LC10	LC10_6
Day-14-LC10_S82	Day_14	LC10	LC10_7
Day-14-LC10_S83	Day_14	LC10	LC10_8
Day-14-LC10_S84	Day_14	LC10	LC10_9
Day-14-LC10_S85	Day_14	LC10	LC10_10
Day-14-VAN_S86	Day_14	VAN	VAN_11
Day-14-VAN_S87	Day_14	VAN	VAN_12
Day-14-VAN_S88	Day_14	VAN	VAN_13
Day-14-VAN_S97	Day_14	VAN	VAN_14
Day-14-VAN_S98	Day_14	VAN	VAN_15
Day-14-LZD_S99	Day_14	LZD	LZD_16
Day-14-LZD_S100	Day_14	LZD	LZD_17
Day-14-LZD_S101	Day_14	LZD	LZD_18
Day-14-LZD_S102	Day_14	LZD	LZD_19
Day-14-LZD_S103	Day_14	LZD	LZD_20
Day-14-LVX_S104	Day_14	LVX	LVX_21
Day-14-LVX_S105	Day_14	LVX	LVX_22
Day-14-LVX_S106	Day_14	LVX	LVX_23
Day-14-LVX_S107	Day_14	LVX	LVX_24
Day-14-LVX_S108	Day_14	LVX	LVX_25
Day-14-Naive_S109	Day_14	Naive	Naive_26
Day-14-Naive_S110	Day_14	Naive	Naive_27
Day-14-Naive_S111	Day_14	Naive	Naive_28
Day-14-Naive_S112	Day_14	Naive	Naive_29
Day-14-Naive_S113	Day_14	Naive	Naive_30
Day-21-R347_S114	Day_21	R347	R347_1
Day-21-R347_S115	Day_21	R347	R347_2
Day-21-R347_S116	Day_21	R347	R347_3
Day-21-R347_S117	Day_21	R347	R347_4
Day-21-R347_S118	Day_21	R347	R347_5
Day-21-LC10_S119	Day_21	LC10	LC10_6
Day-21-LC10_S120	Day_21	LC10	LC10_7
Day-21-LC10_S121	Day_21	LC10	LC10_8
Day-21-LC10_S122	Day_21	LC10	LC10_9
Day-21-LC10_S123	Day_21	LC10	LC10_10
Day-21-VAN_S124	Day_21	VAN	VAN_11
Day-21-VAN_S125	Day_21	VAN	VAN_12
Day-21-VAN_S126	Day_21	VAN	VAN_13
Day-21-VAN_S127	Day_21	VAN	VAN_14
Day-21-VAN_S128	Day_21	VAN	VAN_15
Day-21-LZD_S129	Day_21	LZD	LZD_16
Day-21-LZD_S130	Day_21	LZD	LZD_17
Day-21-LZD_S131	Day_21	LZD	LZD_18
Day-21-LZD_S132	Day_21	LZD	LZD_19
Day-21-LZD_S133	Day_21	LZD	LZD_20
Day-21-LVX_S134	Day_21	LVX	LVX_21
Day-21-LVX_S135	Day_21	LVX	LVX_22
Day-21-LVX_S136	Day_21	LVX	LVX_23
Day-21-LVX_S137	Day_21	LVX	LVX_24
Day-21-LVX_S138	Day_21	LVX	LVX_25
Day-21-Naive_S139	Day_21	Naive	Naive_26
