"Bacteroides"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Lachnospiracea_incertae_sedis"	"Alistipes"	"Erysipelotrichaceae_incertae_sedis"	"Roseburia"	"Parabacteroides"	"Clostridium_XI"	"Unclassified_Clostridiales"	"Blautia"	"Haemophilus"	"Unclassified_Ruminococcaceae"	"Ruminococcus"	"Akkermansia"	"Clostridium_XlVa"	"Sutterella"	"Unclassified_Bacteria"	"Clostridium_IV"	"Unclassified_Lactobacillales"	"Clostridium_XVIII"	"Dorea"	"Escherichia_Shigella"	"Unclassified_Bacteroidales"	"Turicibacter"	"Unclassified_Firmicutes"	"Klebsiella"	"Clostridium_sensu_stricto"	"Megamonas"	"Phascolarctobacterium"	"Bifidobacterium"	"Enterococcus"	"Paraprevotella"	"Prevotella"	"Flavonifractor"	"Oscillibacter"	"Unclassified_Clostridiaceae_1"	"Streptococcus"	"Odoribacter"	"Gemmiger"	"Barnesiella"	"Veillonella"	"Unclassified_Enterobacteriaceae"	"Weissella"	"Coprobacillus"	"Butyricicoccus"	"Collinsella"	"Unclassified_Proteobacteria"	"Anaerovorax"	"Lactobacillus"	"Parasutterella"	"Coprococcus"	"Cellulosilyticum"	"Eggerthella"	"Unclassified_Burkholderiales"	"Unclassified_Veillonellaceae"	"Unclassified_Actinomycetales"	"Acidaminococcus"	"Unclassified_Bacilli"	"Dialister"	"Rothia"	"Unclassified_Bacteroidetes"	"Enterobacter"	"TM7_genus_incertae_sedis"	"Pseudoflavonifractor"	"Clostridium_XlVb"	"Fusobacterium"	"Bilophila"	"Anaerobacter"	"Holdemania"	"Campylobacter"	"Unclassified_Clostridia"	"Unclassified_Erysipelotrichaceae"	"Unclassified_Acidaminococcaceae"	"Granulicatella"	"Clostridium_III"	"Subdoligranulum"	"Moraxella"	"Megasphaera"	"Porphyromonas"	"Gemella"	"Anaerotruncus"	"Unclassified_Bacillales"	"Unclassified_Porphyromonadaceae"	"Butyricimonas"	"Anaerofustis"	"Finegoldia"	"Hespellia"	"Acetobacterium"	"Desulfovibrio"	"Corynebacterium"	"Peptoniphilus"	"Unclassified_Pasteurellaceae"	"Murdochiella"	"Lactococcus"	"Mogibacterium"	"Anaerococcus"	"Unclassified_Gammaproteobacteria"	"Staphylococcus"	"Streptophyta"	"Abiotrophia"	"Parvimonas"	"Unclassified_Prevotellaceae"	"Eubacterium"	"Unclassified_Flavobacteriales"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Filifactor"	"Pseudobutyrivibrio"	"Acidovorax"	"Sphingopyxis"	"Unclassified_Pseudomonadaceae"	"Solobacterium"	"Pseudomonas"	"Anaerostipes"	"Unclassified_Desulfovibrionaceae"	"Citrobacter"	"Unclassified_Betaproteobacteria"	"Unclassified_Fusobacteriaceae"	"Leuconostoc"
7050	1713	1058	1064	84	49	410	0	142	169	247	13	38	39	0	259	0	31	17	0	16	32	344	39	1	18	3	0	0	0	127	0	0	1	26	16	0	4	0	0	0	0	27	0	2	84	3	0	0	0	0	3	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
19606	238	206	31	1371	19	89	7	0	42	76	0	496	96	2	68	1	55	36	0	2	19	0	83	0	22	0	0	0	34	0	0	152	3	20	32	0	2	0	27	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	14	0	0	0	0	0	43	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
963	28	11	14	701	0	10	71	96	22	7	0	27	19	72	2	14	23	20	0	4	15	1	1	26	17	1	66	0	36	0	0	0	41	21	9	8	0	41	0	29	0	0	0	0	1	1	0	33	0	0	8	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	164	178	53	20	1019	59	12	95	68	130	3	19	5	0	25	3	20	0	395	4	19	8	5	0	39	0	0	0	0	32	2	1	53	11	0	0	45	0	2	0	0	2	55	1	0	0	0	0	18	0	3	0	22	0	0	5	0	14	0	16	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2395	979	1127	505	0	18	314	14	138	152	158	0	75	5	0	30	0	18	2	0	25	15	4	19	0	20	0	0	0	0	63	0	0	0	20	3	0	27	0	29	0	1	1	0	0	31	0	4	0	4	0	0	0	9	0	0	1	0	0	8	0	0	0	0	0	1	0	0	0	9	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13910	181	27	13	37	11	47	1	0	44	71	0	20	2	0	18	0	61	1	0	22	16	0	411	0	16	0	0	0	0	0	1163	0	4	2	20	0	1	0	72	0	1	0	0	0	25	0	1	0	12	17	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1
1521	291	35	79	26	13	48	53	4	92	31	2	38	1	0	19	0	19	92	0	17	40	1	4	1	1	0	0	131	29	3	0	0	0	4	9	0	9	0	0	0	1	0	0	0	2	19	2	0	0	0	1	0	2	31	0	0	1	2	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1631	309	338	359	3	0	215	1	22	57	40	11	129	179	0	32	0	32	136	0	4	5	0	5	1	56	0	5	0	0	0	0	0	0	10	0	1	5	0	0	0	34	0	3	0	0	0	0	0	22	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	2031	123	382	0	17	380	1	216	100	459	1071	4	0	0	46	0	147	1	0	54	4	0	1	0	25	478	0	0	0	93	12	0	21	3	0	0	30	0	3	1	1	15	14	0	3	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	11	28	12	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
807	195	10	102	51	1	21	55	13	67	41	0	58	133	0	12	37	14	31	0	26	43	1	19	0	19	0	0	0	16	5	0	0	10	1	12	0	1	10	0	12	2	0	0	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
